Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
Oz the Great and Powerful,"$79,110,453 ","$234,911,825 ",33.70%,"3,912","$20,222 ",3/8/2013,Walt Disney Studios Motion Pictures
Harry Potter and the Half-Blood Prince,"$77,835,727 ","$301,959,197 ",25.80%,"4,325","$17,996 ",7/15/2009,Warner Bros.
I Am Legend,"$77,211,321 ","$256,393,010 ",30.10%,"3,606","$21,411 ",12/14/2007,Warner Bros.
Harry Potter and the Order of the Phoenix,"$77,108,414 ","$292,004,738 ",26.40%,"4,285","$17,994 ",7/11/2007,Warner Bros.
The Da Vinci Code,"$77,073,388 ","$217,536,138 ",35.40%,"3,735","$20,635 ",5/19/2006,Sony Pictures Entertainment (SPE)
Avatar,"$77,025,481 ","$749,766,139 ",10.30%,"3,452","$22,313 ",12/18/2009,Twentieth Century Fox
Halloween,"$76,221,545 ","$159,342,015 ",47.80%,"3,928","$19,404 ",10/19/2018,Universal Pictures
Ant-Man and the Wasp,"$75,812,205 ","$216,648,740 ",35%,"4,206","$18,024 ",7/6/2018,Walt Disney Studios Motion Pictures
Shang-Chi and the Legend of the Ten Rings,"$75,388,688 ","$224,543,292 ",33.60%,"4,300","$17,532 ",9/3/2021,Walt Disney Studios Motion Pictures
Star Trek,"$75,204,289 ","$257,730,019 ",29.20%,"3,849","$19,538 ",5/8/2009,Paramount Pictures
Zootopia,"$75,063,401 ","$341,268,248 ",22%,"3,827","$19,614 ",3/4/2016,Walt Disney Studios Motion Pictures
Fantastic Beasts and Where to Find Them,"$74,403,387 ","$234,037,575 ",31.80%,"4,144","$17,954 ",11/18/2016,Warner Bros.
The Simpsons Movie,"$74,036,787 ","$183,135,014 ",40.40%,"3,922","$18,877 ",7/27/2007,Twentieth Century Fox
John Wick: Chapter 4,"$73,817,950 ","$187,131,806 ",39.40%,"3,855","$19,148 ",3/24/2023,Lions Gate Films
The Hobbit: The Desolation of Smaug,"$73,645,197 ","$258,366,855 ",28.50%,"3,903","$18,868 ",12/13/2013,Warner Bros.
Austin Powers in Goldmember,"$73,071,188 ","$213,307,889 ",34.30%,"3,613","$20,224 ",7/26/2002,New Line Cinema
