Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
Pineapple Express,"$23,245,025 ","$87,341,380 ",26.60%,"3,072","$7,566 ",8/6/2008,Sony Pictures Entertainment (SPE)
Alvin and the Chipmunks: Chipwrecked,"$23,244,744 ","$133,110,742 ",17.50%,"3,723","$6,243 ",12/16/2011,Twentieth Century Fox
Eragon,"$23,239,907 ","$75,030,163 ",31%,"3,020","$7,695 ",12/15/2006,Twentieth Century Fox
This Is It,"$23,234,394 ","$72,091,016 ",32.20%,"3,481","$6,674 ",10/28/2009,Sony Pictures Entertainment (SPE)
Hellboy,"$23,172,440 ","$59,623,958 ",38.90%,"3,028","$7,652 ",4/2/2004,Revolution Studios
Double Jeopardy,"$23,162,542 ","$116,741,558 ",19.80%,"2,547","$9,094 ",9/24/1999,Paramount Pictures
Jackass Forever,"$23,154,388 ","$57,743,451 ",40.10%,"3,604","$6,424 ",2/4/2022,Paramount Pictures
The Mask,"$23,117,068 ","$119,938,730 ",19.30%,"2,360","$9,795 ",7/29/1994,New Line Cinema
Star Trek: Generations,"$23,116,394 ","$75,671,125 ",30.60%,"2,659","$8,693 ",11/18/1994,Paramount Pictures
Eat Pray Love,"$23,104,523 ","$80,574,010 ",28.70%,"3,082","$7,496 ",8/13/2010,Sony Pictures Entertainment (SPE)
The League of Extraordinary Gentlemen,"$23,075,892 ","$66,465,204 ",34.70%,"3,002","$7,686 ",7/11/2003,Twentieth Century Fox
Smallfoot,"$23,045,635 ","$83,240,103 ",27.70%,"4,131","$5,578 ",9/28/2018,Warner Bros.
Resident Evil: Apocalypse,"$23,036,273 ","$51,201,453 ",45%,"3,284","$7,014 ",9/10/2004,Screen Gems
Star Wars: Episode VI - Return of the Jedi,"$23,019,618 ","$252,583,617 ",9.10%,"1,002","$22,973 ",5/25/1983,Twentieth Century Fox
27 Dresses,"$23,007,725 ","$76,808,654 ",30%,"3,057","$7,526 ",1/18/2008,Twentieth Century Fox
The Haunting in Connecticut,"$23,004,765 ","$55,389,516 ",41.50%,"2,732","$8,420 ",3/27/2009,Lions Gate Films
DC League of Super-Pets,"$23,003,441 ","$93,657,117 ",24.60%,"4,314","$5,332 ",7/29/2022,Warner Bros.
The Princess Diaries 2: Royal Engagement,"$22,956,453 ","$95,170,481 ",24.10%,"3,472","$6,611 ",8/11/2004,Walt Disney Studios Motion Pictures
The Game Plan,"$22,950,971 ","$90,648,202 ",25.30%,"3,103","$7,396 ",9/28/2007,Walt Disney Studios Motion Pictures
Vantage Point,"$22,874,936 ","$72,266,306 ",31.60%,"3,149","$7,264 ",2/22/2008,Sony Pictures Entertainment (SPE)
Jack Reacher: Never Go Back,"$22,872,490 ","$58,697,076 ",39%,"3,780","$6,050 ",10/21/2016,Paramount Pictures
The Princess Diaries,"$22,862,269 ","$108,248,956 ",21.10%,"2,537","$9,011 ",8/3/2001,Walt Disney Studios Motion Pictures
Mission to Mars,"$22,855,247 ","$60,883,407 ",37.50%,"3,054","$7,483 ",3/10/2000,Walt Disney Studios Motion Pictures
The Interpreter,"$22,822,455 ","$72,708,161 ",31.40%,"2,758","$8,275 ",4/22/2005,Universal Pictures
PAW Patrol: The Mighty Movie,"$22,764,354 ","$65,231,360 ",34.90%,"3,989","$5,706 ",9/29/2023,Paramount Pictures
Jackass: The Movie,"$22,763,437 ","$64,255,312 ",35.40%,"2,509","$9,072 ",10/25/2002,Paramount Pictures
Man on Fire,"$22,751,490 ","$77,911,774 ",29.20%,"2,980","$7,634 ",4/21/2004,Twentieth Century Fox
Mulan,"$22,745,143 ","$120,620,254 ",18.90%,"2,888","$7,875 ",6/19/1998,Walt Disney Studios Motion Pictures
Rugrats in Paris,"$22,718,184 ","$76,507,756 ",29.70%,"2,934","$7,743 ",11/17/2000,Paramount Pictures
Insidious: Chapter 3,"$22,692,741 ","$52,218,558 ",43.50%,"3,002","$7,559 ",6/5/2015,Focus Features
Unstoppable,"$22,688,457 ","$81,562,942 ",27.80%,"3,207","$7,074 ",11/12/2010,Twentieth Century Fox
Funny People,"$22,657,780 ","$51,855,045 ",43.70%,"3,007","$7,535 ",7/31/2009,Universal Pictures
Black Mass,"$22,635,037 ","$62,575,678 ",36.20%,"3,188","$7,100 ",9/18/2015,Warner Bros.
Poltergeist,"$22,620,386 ","$47,425,125 ",47.70%,"3,240","$6,981 ",5/22/2015,Twentieth Century Fox
The Time Machine,"$22,610,437 ","$56,832,494 ",39.80%,"2,944","$7,680 ",3/8/2002,DreamWorks Distribution
Smile,"$22,609,925 ","$105,935,048 ",21.30%,"3,645","$6,202 ",9/30/2022,Paramount Pictures
Bridge to Terabithia,"$22,564,612 ","$82,272,442 ",27.40%,"3,139","$7,188 ",2/16/2007,Walt Disney Studios Motion Pictures
Training Day,"$22,550,788 ","$76,631,907 ",29.40%,"2,712","$8,315 ",10/5/2001,Warner Bros.
Dick Tracy,"$22,543,911 ","$103,738,726 ",21.70%,"2,332","$9,667 ",6/15/1990,Walt Disney Studios Motion Pictures
Saw 3D,"$22,530,123 ","$45,710,178 ",49.30%,"2,808","$8,023 ",10/29/2010,Lions Gate Films
The Mask of Zorro,"$22,525,855 ","$94,095,523 ",23.90%,"2,515","$8,956 ",7/17/1998,Sony Pictures Entertainment (SPE)
Heaven Is for Real,"$22,522,221 ","$91,443,253 ",24.60%,"2,417","$9,318 ",4/16/2014,TriStar Pictures
The Lucky One,"$22,518,358 ","$60,457,138 ",37.20%,"3,155","$7,137 ",4/20/2012,Warner Bros.
Shallow Hal,"$22,518,295 ","$70,839,203 ",31.80%,"2,770","$8,129 ",11/9/2001,Twentieth Century Fox
Star Wars: Episode I - The Phantom Menace,"$22,469,932 ","$43,456,382 ",51.70%,"2,655","$8,463 ",2/10/2012,Twentieth Century Fox
Life of Pi,"$22,451,514 ","$124,987,023 ",18%,"2,927","$7,670 ",11/21/2012,Twentieth Century Fox
The Social Network,"$22,445,653 ","$96,962,694 ",23.20%,"2,771","$8,100 ",10/1/2010,Sony Pictures Entertainment (SPE)
The Patriot,"$22,413,710 ","$113,330,342 ",19.80%,"3,061","$7,322 ",6/28/2000,Sony Pictures Entertainment (SPE)
Contagion,"$22,403,596 ","$75,658,097 ",29.60%,"3,222","$6,953 ",9/9/2011,Warner Bros.
Now You See Me 2,"$22,383,146 ","$65,075,540 ",34.40%,"3,232","$6,925 ",6/10/2016,Lions Gate Films
Walk the Line,"$22,347,341 ","$119,519,402 ",18.70%,"2,961","$7,547 ",11/18/2005,Twentieth Century Fox
The General's Daughter,"$22,332,053 ","$102,705,852 ",21.70%,"2,856","$7,819 ",6/18/1999,Paramount Pictures
Sing 2,"$22,326,230 ","$162,790,990 ",13.70%,"3,892","$5,736 ",12/22/2021,Universal Pictures
Planes,"$22,232,291 ","$90,288,712 ",24.60%,"3,702","$6,005 ",8/9/2013,Walt Disney Studios Motion Pictures
Disturbia,"$22,224,982 ","$80,209,692 ",27.70%,"2,925","$7,598 ",4/13/2007,DreamWorks
"Legally Blonde 2: Red, White & Blonde","$22,220,670 ","$90,186,328 ",24.60%,"3,350","$6,633 ",7/2/2003,Metro-Goldwyn-Mayer (MGM)
Monster House,"$22,217,226 ","$73,661,010 ",30.20%,"3,553","$6,253 ",7/21/2006,Sony Pictures Entertainment (SPE)
Freaky Friday,"$22,203,007 ","$110,230,332 ",20.10%,"2,954","$7,516 ",8/6/2003,Walt Disney Studios Motion Pictures
Kill Bill: Vol. 1,"$22,200,000 ","$70,099,045 ",31.70%,"3,102","$7,156 ",10/10/2003,Miramax
Die Hard with a Vengeance,"$22,162,245 ","$100,012,499 ",22.20%,"2,525","$8,777 ",5/19/1995,Twentieth Century Fox
Poseidon,"$22,155,410 ","$60,674,817 ",36.50%,"3,555","$6,232 ",5/12/2006,Warner Bros.
Diary of a Wimpy Kid,"$22,126,166 ","$64,003,625 ",34.60%,"3,077","$7,190 ",3/19/2010,Twentieth Century Fox
Ghost Rider: Spirit of Vengeance,"$22,115,334 ","$51,774,002 ",42.70%,"3,174","$6,967 ",2/17/2012,Sony Pictures Entertainment (SPE)
It's Complicated,"$22,100,820 ","$112,735,375 ",19.60%,"2,887","$7,655 ",12/25/2009,Universal Pictures
Ladder 49,"$22,088,204 ","$74,541,707 ",29.60%,"3,260","$6,775 ",10/1/2004,Walt Disney Studios Motion Pictures
Road to Perdition,"$22,079,481 ","$104,454,762 ",21.10%,"1,797","$12,286 ",7/12/2002,DreamWorks Distribution
Starship Troopers,"$22,058,773 ","$54,814,377 ",40.20%,"2,971","$7,424 ",11/7/1997,Sony Pictures Entertainment (SPE)
Star Trek: Insurrection,"$22,052,836 ","$70,187,658 ",31.40%,"2,620","$8,417 ",12/11/1998,Paramount Pictures
Chronicle,"$22,004,098 ","$64,575,175 ",34.10%,"2,907","$7,569 ",2/3/2012,Twentieth Century Fox
The Monuments Men,"$22,003,433 ","$78,031,620 ",28.20%,"3,083","$7,137 ",2/7/2014,Sony Pictures Entertainment (SPE)
Candyman,"$22,001,750 ","$61,186,570 ",36%,"3,569","$6,164 ",8/27/2021,Universal Pictures
Star Wars: Episode V - The Empire Strikes Back,"$21,975,993 ","$67,597,694 ",32.50%,"2,111","$10,410 ",2/21/1997,Twentieth Century Fox
Hide and Seek,"$21,959,233 ","$51,100,486 ",43%,"3,005","$7,307 ",1/28/2005,Twentieth Century Fox
Diary of a Mad Black Woman,"$21,905,089 ","$50,633,099 ",43.30%,"1,483","$14,770 ",2/25/2005,Lions Gate Films
Inspector Gadget,"$21,889,138 ","$97,403,112 ",22.50%,"2,814","$7,778 ",7/23/1999,Walt Disney Studios Motion Pictures
Unknown,"$21,856,389 ","$63,686,397 ",34.30%,"3,043","$7,182 ",2/18/2011,Warner Bros.
Dolittle,"$21,844,045 ","$77,047,065 ",28.40%,"4,155","$5,257 ",1/17/2020,Universal Pictures
Stomp the Yard,"$21,833,312 ","$61,356,221 ",35.60%,"2,051","$10,645 ",1/12/2007,Screen Gems
Notting Hill,"$21,811,180 ","$116,089,678 ",18.80%,"2,747","$7,940 ",5/28/1999,Universal Pictures
Renaissance: A Film by Beyoncé,"$21,801,216 ","$21,801,216 ",100%,"2,539","$8,586 ",12/1/2023,-
Lara Croft: Tomb Raider - The Cradle of Life,"$21,783,641 ","$65,660,196 ",33.20%,"3,222","$6,760 ",7/25/2003,Paramount Pictures
RED,"$21,761,408 ","$90,380,162 ",24.10%,"3,255","$6,685 ",10/15/2010,Summit Entertainment
Neighbors 2: Sorority Rising,"$21,760,405 ","$55,455,765 ",39.20%,"3,384","$6,430 ",5/20/2016,Universal Pictures
Underworld,"$21,753,759 ","$51,970,690 ",41.90%,"2,915","$7,462 ",9/19/2003,Screen Gems
Die Hard 2,"$21,744,661 ","$117,540,947 ",18.50%,"2,507","$8,673 ",7/6/1990,Twentieth Century Fox
Texas Chainsaw,"$21,744,470 ","$34,341,945 ",63.30%,"2,654","$8,193 ",1/4/2013,Lions Gate Films
Garfield: The Movie,"$21,727,611 ","$75,369,589 ",28.80%,"3,094","$7,022 ",6/11/2004,Twentieth Century Fox
Shaft,"$21,714,757 ","$70,334,258 ",30.90%,"2,337","$9,291 ",6/16/2000,Paramount Pictures
Cats & Dogs,"$21,707,617 ","$93,385,515 ",23.20%,"3,040","$7,140 ",7/4/2001,Warner Bros.
Eyes Wide Shut,"$21,706,163 ","$55,691,208 ",39%,"2,411","$9,002 ",7/16/1999,Warner Bros.
Spy Game,"$21,689,125 ","$62,362,560 ",34.80%,"2,770","$7,830 ",11/21/2001,Universal Pictures
Lights Out,"$21,688,103 ","$67,268,835 ",32.20%,"2,818","$7,696 ",7/22/2016,Warner Bros.
RoboCop,"$21,681,430 ","$58,607,007 ",37%,"3,372","$6,429 ",2/12/2014,Sony Pictures Entertainment (SPE)
My Best Friend's Wedding,"$21,678,377 ","$127,120,029 ",17%,"2,134","$10,158 ",6/20/1997,Sony Pictures Entertainment (SPE)
Bumblebee,"$21,654,047 ","$127,195,589 ",17%,"3,550","$6,099 ",12/21/2018,Paramount Pictures
Temptation: Confessions of a Marriage Counselor,"$21,641,679 ","$51,975,354 ",41.60%,"2,047","$10,572 ",3/29/2013,Lions Gate Films
London Has Fallen,"$21,635,601 ","$62,524,260 ",34.60%,"3,490","$6,199 ",3/4/2016,Focus Features
Little Man,"$21,613,176 ","$58,645,052 ",36.80%,"2,533","$8,532 ",7/14/2006,Revolution Studios
When a Stranger Calls,"$21,607,203 ","$47,860,214 ",45.20%,"2,999","$7,204 ",2/3/2006,Screen Gems
Fool's Gold,"$21,589,295 ","$70,231,041 ",30.70%,"3,125","$6,908 ",2/8/2008,Warner Bros.
Tammy,"$21,577,049 ","$84,525,432 ",25.50%,"3,465","$6,227 ",7/2/2014,Warner Bros.
Christmas with the Kranks,"$21,570,867 ","$73,780,539 ",29.20%,"3,393","$6,357 ",11/24/2004,Revolution Studios
"You, Me and Dupree","$21,525,560 ","$75,628,110 ",28.50%,"3,131","$6,874 ",7/14/2006,Universal Pictures
Pete's Dragon,"$21,514,095 ","$76,233,151 ",28.20%,"3,702","$5,811 ",8/12/2016,Walt Disney Studios Motion Pictures
American Reunion,"$21,514,080 ","$57,011,521 ",37.70%,"3,192","$6,740 ",4/6/2012,Universal Pictures
Cruella,"$21,496,997 ","$86,103,234 ",25%,"3,892","$5,523 ",5/28/2021,Walt Disney Studios Motion Pictures
The 40-Year-Old Virgin,"$21,422,815 ","$109,449,237 ",19.60%,"2,845","$7,529 ",8/19/2005,Universal Pictures
The Stepford Wives,"$21,406,781 ","$59,484,742 ",36%,"3,057","$7,002 ",6/11/2004,Paramount Pictures
Good Boys,"$21,402,605 ","$83,140,306 ",25.70%,"3,204","$6,679 ",8/16/2019,Universal Pictures
Safe Haven,"$21,401,594 ","$71,349,120 ",30%,"3,223","$6,640 ",2/14/2013,Relativity Media
The Forbidden Kingdom,"$21,401,121 ","$52,075,270 ",41.10%,"3,151","$6,791 ",4/18/2008,Lions Gate Films
The Hitman's Bodyguard,"$21,384,504 ","$75,468,583 ",28.30%,"3,377","$6,332 ",8/18/2017,Lions Gate Films
Angel Has Fallen,"$21,380,987 ","$69,030,436 ",31%,"3,286","$6,506 ",8/23/2019,Lions Gate Films
Ice Age: Collision Course,"$21,373,064 ","$64,063,008 ",33.40%,"3,992","$5,353 ",7/22/2016,Twentieth Century Fox
Why Did I Get Married?,"$21,353,789 ","$55,204,525 ",38.70%,"2,011","$10,618 ",10/12/2007,Lions Gate Films
Turbo,"$21,312,625 ","$83,028,128 ",25.70%,"3,806","$5,599 ",7/17/2013,Twentieth Century Fox
Storks,"$21,311,407 ","$72,679,278 ",29.30%,"3,922","$5,433 ",9/23/2016,Warner Bros.
My Bloody Valentine,"$21,241,456 ","$51,545,952 ",41.20%,"2,534","$8,382 ",1/16/2009,Lions Gate Films
Happy Feet Two,"$21,237,068 ","$64,006,466 ",33.20%,"3,606","$5,889 ",11/18/2011,Warner Bros.
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"$21,234,994 ","$49,505,008 ",42.90%,"1,614","$13,156 ",4/23/2021,FUNimation Entertainment
Boo 2! A Madea Halloween,"$21,226,953 ","$47,319,572 ",44.90%,"2,388","$8,889 ",10/20/2017,Lions Gate Films
Payback,"$21,221,526 ","$81,526,121 ",26%,"2,729","$7,776 ",2/5/1999,Paramount Pictures
Four Brothers,"$21,176,925 ","$74,494,381 ",28.40%,"2,533","$8,360 ",8/12/2005,Paramount Pictures
Waterworld,"$21,171,780 ","$88,246,220 ",24%,"2,268","$9,335 ",7/28/1995,Universal Pictures
